team_name,batters_avg_age,pitchers_avg_age,Batting_Park_Factor,Pitching_Park_Factor,HoF,AllStars,AllTimeASapp,Est_Payroll,AvgGameStartTime,yearID
Toronto Blue Jays,29.3,28.0,102,101,0,3,8,"$62,734,000",2:48,2010
Washington Nationals,29.1,28.0,99,100,1,1,12,"$67,701,000",2:57,2010
Arizona Diamondbacks,28.2,27.4,103,103,0,2,12,"$54,823,166",2:53,2011
Atlanta Braves,28.9,28.4,101,100,1,5,18,"$93,855,132",2:56,2011
Baltimore Orioles,28.3,28.2,102,103,1,1,15,"$88,299,038",2:54,2011
Boston Red Sox,30.1,30.3,105,105,1,6,21,"$166,662,475",3:13,2011
Chicago Cubs,29.3,29.4,101,102,0,1,14,"$136,547,329",2:58,2011
Chicago White Sox,30.0,28.5,106,106,0,2,15,"$127,789,000",2:49,2011
Cincinnati Reds,28.6,27.7,104,103,0,4,17,"$77,297,134",3:03,2011
Cleveland Indians,27.8,26.7,94,96,1,2,13,"$49,426,566",2:56,2011
Colorado Rockies,28.6,27.7,119,119,0,1,13,"$91,648,071",3:03,2011
Detroit Tigers,28.6,27.8,102,101,0,5,11,"$106,875,231",3:00,2011
Florida Marlins,27.4,28.0,101,102,0,1,11,"$57,694,000",2:58,2011
Houston Astros,28.2,27.2,98,99,0,1,7,"$71,110,500",2:56,2011
Kansas City Royals,25.8,26.4,99,100,0,1,13,"$35,712,000",2:54,2011
Los Angeles Angels of Anaheim,28.9,28.4,92,92,0,3,13,"$138,543,166",2:53,2011
Los Angeles Dodgers,29.8,28.6,96,96,0,3,15,"$103,785,477",3:02,2011
Milwaukee Brewers,28.9,29.3,103,103,0,3,14,"$86,636,333",2:56,2011
Minnesota Twins,27.5,28.5,99,99,1,1,10,"$112,737,000",2:50,2011
New York Mets,28.0,30.0,96,96,0,2,11,"$151,897,309",2:59,2011
New York Yankees,30.6,31.0,106,105,2,8,20,"$206,275,028",3:08,2011
Oakland Athletics,29.1,27.4,98,98,0,1,8,"$67,094,000",2:53,2011
Philadelphia Phillies,31.4,29.2,101,100,1,5,17,"$172,976,379",2:52,2011
Pittsburgh Pirates,27.2,28.1,95,97,0,3,12,"$45,047,000",3:00,2011
San Diego Padres,28.0,28.1,93,93,0,1,9,"$45,869,140",2:52,2011
Seattle Mariners,29.3,26.8,90,92,0,3,12,"$86,110,600",2:46,2011
San Francisco Giants,30.2,28.5,92,91,0,5,15,"$124,198,333",2:54,2011
St. Louis Cardinals,29.3,30.2,98,97,0,3,14,"$105,433,572",2:55,2011
Tampa Bay Rays,28.2,27.8,93,92,0,3,10,"$41,053,571",2:58,2011
Texas Rangers,29.1,28.8,109,108,0,5,16,"$93,799,264",2:55,2011
Toronto Blue Jays,28.3,27.6,104,104,0,2,6,"$64,567,800",2:55,2011
Washington Nationals,28.4,27.6,100,100,1,1,10,"$68,492,928",2:57,2011
Arizona Diamondbacks,28.3,27.4,103,103,0,1,13,"$67,069,833",2:58,2012
Atlanta Braves,28.5,27.6,102,101,1,4,16,"$86,208,000",2:55,2012
Baltimore Orioles,28.0,27.6,102,103,1,3,16,"$77,949,000",3:00,2012
Boston Red Sox,29.4,28.7,104,103,1,1,17,"$110,386,000",3:09,2012
Chicago Cubs,27.8,27.9,101,103,0,2,11,"$86,159,366",2:58,2012
Chicago White Sox,30.0,27.5,104,104,0,4,17,"$118,208,000",2:54,2012
Cincinnati Reds,28.8,27.1,104,104,0,3,14,"$80,309,500",3:00,2012
Cleveland Indians,27.8,27.6,94,95,0,2,13,"$78,911,300",2:58,2012
Colorado Rockies,28.1,28.2,117,117,0,1,13,"$75,485,000",3:06,2012
Detroit Tigers,27.9,28.2,105,104,0,3,10,"$131,394,000",2:59,2012
Houston Astros,26.6,27.2,100,102,0,1,8,"$37,651,000",3:02,2012
Kansas City Royals,26.1,27.3,102,102,0,1,14,"$61,747,075",2:57,2012
Los Angeles Angels of Anaheim,28.7,30.1,94,93,0,4,16,"$141,073,500",2:57,2012
Los Angeles Dodgers,30.4,29.0,96,96,0,2,16,"$177,033,600",3:05,2012
Miami Marlins,28.3,28.8,102,103,0,1,15,"$107,678,000",2:57,2012
Milwaukee Brewers,29.2,29.0,105,104,0,1,16,"$95,717,000",3:08,2012
Minnesota Twins,28.9,27.8,98,100,0,1,10,"$99,066,000",2:59,2012
New York Mets,27.9,30.3,95,96,0,2,9,"$91,621,424",2:56,2012
New York Yankees,32.9,30.3,104,103,2,4,20,"$197,977,900",3:07,2012
Oakland Athletics,27.7,27.9,95,95,0,1,13,"$61,202,500",3:02,2012
Philadelphia Phillies,31.1,29.1,102,102,2,3,15,"$171,501,558",2:56,2012
Pittsburgh Pirates,27.6,30.2,95,95,0,2,15,"$70,077,000",3:01,2012
San Diego Padres,27.4,28.0,91,91,0,1,12,"$55,494,700",2:56,2012
Seattle Mariners,27.0,27.9,92,93,0,1,12,"$78,235,600",2:56,2012
San Francisco Giants,27.8,30.0,89,89,0,4,15,"$117,637,350",3:02,2012
St. Louis Cardinals,29.2,28.6,98,96,0,6,16,"$112,071,000",3:01,2012
Tampa Bay Rays,29.7,28.1,95,94,0,2,12,"$63,368,700",3:06,2012
Texas Rangers,29.7,28.8,109,107,0,8,18,"$124,119,900",3:00,2012
Toronto Blue Jays,27.8,27.8,102,103,0,1,10,"$82,352,700",2:58,2012
Washington Nationals,27.2,27.0,101,101,0,4,14,"$92,386,000",3:03,2012
Arizona Diamondbacks,28.1,27.6,102,103,0,2,11,"$80,060,500",3:08,2013
Atlanta Braves,26.8,27.2,101,100,0,3,12,"$95,618,750",2:59,2013
Baltimore Orioles,27.8,27.9,103,102,0,5,18,"$100,832,000",3:01,2013
Boston Red Sox,29.6,30.2,103,103,1,3,20,"$175,395,500",3:15,2013
Chicago Cubs,27.9,28.7,102,103,0,1,9,"$67,874,166",3:07,2013
Chicago White Sox,29.2,27.1,104,105,0,2,12,"$81,401,900",3:02,2013
Cincinnati Reds,28.5,27.7,101,101,0,3,15,"$106,255,535",3:08,2013
Cleveland Indians,28.7,27.5,95,95,0,2,16,"$87,342,433",3:03,2013
Colorado Rockies,27.7,28.3,118,119,0,3,12,"$73,768,000",3:05,2013
Detroit Tigers,30.0,28.4,104,104,0,6,13,"$154,407,000",3:06,2013
Houston Astros,25.9,27.2,99,101,0,1,5,"$14,672,300",3:12,2013
Kansas City Royals,26.9,28.9,103,103,0,3,16,"$87,426,250",2:55,2013
Los Angeles Angels of Anaheim,27.8,29.1,94,94,0,1,10,"$116,532,500",3:12,2013
Los Angeles Dodgers,30.6,28.1,96,95,0,1,21,"$254,161,000",3:07,2013
Miami Marlins,27.7,26.0,102,103,0,1,9,"$24,761,900",2:57,2013
Milwaukee Brewers,27.9,28.8,103,103,0,2,12,"$86,945,000",3:03,2013
Minnesota Twins,28.3,28.3,101,102,0,2,9,"$63,042,500",3:06,2013
New York Mets,28.3,29.1,94,95,0,2,9,"$69,425,860",3:08,2013
New York Yankees,31.9,31.8,100,100,2,2,17,"$246,534,750",3:05,2013
Oakland Athletics,28.3,28.3,98,97,0,2,15,"$69,440,000",3:05,2013
Philadelphia Phillies,30.0,28.7,100,100,1,2,10,"$150,860,000",2:59,2013
Pittsburgh Pirates,27.9,28.7,95,95,0,5,19,"$99,230,000",3:06,2013
San Diego Padres,28.1,28.8,91,91,0,1,11,"$65,988,600",3:00,2013
Seattle Mariners,28.6,28.0,92,92,0,2,10,"$78,887,000",3:04,2013
San Francisco Giants,28.7,29.6,93,92,0,4,12,"$139,845,667",3:05,2013
St. Louis Cardinals,28.7,26.9,101,100,0,6,15,"$112,583,000",3:01,2013
Tampa Bay Rays,29.5,29.0,97,96,0,2,11,"$71,163,500",3:11,2013
Texas Rangers,29.6,27.9,103,103,0,3,17,"$139,261,200",3:04,2013
Toronto Blue Jays,29.0,30.9,102,103,0,4,12,"$124,517,800",2:55,2013
Washington Nationals,27.7,27.7,103,101,0,2,14,"$112,493,250",2:57,2013
Arizona Diamondbacks,27.6,28.0,102,102,0,2,13,"$89,926,500",3:03,2014
Atlanta Braves,26.8,27.3,98,97,0,3,11,"$108,081,500",3:04,2014
Baltimore Orioles,28.3,27.7,103,103,0,3,17,"$109,097,500",3:07,2014
Boston Red Sox,29.2,29.9,104,104,1,2,22,"$134,628,929",3:17,2014
Chicago Cubs,26.8,28.0,102,103,0,3,7,"$59,800,500",3:12,2014
Chicago White Sox,27.7,27.4,97,98,0,3,9,"$87,475,500",3:08,2014
Cincinnati Reds,29.0,28.0,100,100,0,5,11,"$102,230,000",3:03,2014
Cleveland Indians,28.6,27.2,103,102,0,1,14,"$73,509,399",3:12,2014
Colorado Rockies,27.4,28.5,116,116,0,2,9,"$95,403,500",3:12,2014
Detroit Tigers,29.8,28.5,101,101,0,4,18,"$169,135,500",3:14,2014
Houston Astros,25.4,27.9,100,101,0,1,6,"$44,736,800",3:10,2014
Kansas City Royals,28.2,28.9,104,103,0,3,16,"$89,804,075",3:02,2014
Los Angeles Angels of Anaheim,29.3,28.4,95,94,0,2,14,"$128,667,000",3:15,2014
Los Angeles Dodgers,29.3,29.9,96,95,0,4,21,"$233,386,026",3:14,2014
Miami Marlins,27.4,26.4,100,101,0,2,13,"$42,365,400",3:05,2014
Milwaukee Brewers,28.8,29.0,103,103,0,4,15,"$109,567,000",3:07,2014
Minnesota Twins,27.5,29.2,102,102,0,2,12,"$87,044,000",3:07,2014
New York Mets,28.4,28.9,94,94,0,1,11,"$82,663,615",3:08,2014
New York Yankees,32.8,29.3,100,100,1,3,19,"$258,118,959",3:12,2014
Oakland Athletics,29.6,28.2,98,97,0,6,16,"$89,160,900",3:05,2014
Philadelphia Phillies,30.8,30.1,101,102,0,1,12,"$176,444,967",3:09,2014
Pittsburgh Pirates,27.3,28.1,99,98,0,3,14,"$80,729,000",3:09,2014
San Diego Padres,27.9,28.8,92,92,0,2,6,"$76,662,100",3:01,2014
Seattle Mariners,27.5,29.0,95,95,0,4,13,"$95,471,000",2:59,2014
San Francisco Giants,28.6,31.7,95,94,0,3,16,"$163,510,167",3:05,2014
St. Louis Cardinals,28.6,27.2,100,99,0,4,15,"$129,932,500",3:03,2014
Tampa Bay Rays,29.3,28.4,97,97,0,1,13,"$77,814,300",3:19,2014
Texas Rangers,28.4,27.9,104,104,0,2,16,"$129,801,239",3:06,2014
Toronto Blue Jays,29.2,29.6,100,99,0,3,14,"$136,466,200",3:01,2014
Washington Nationals,28.8,28.3,104,102,0,2,15,"$137,235,080",3:05,2014
Arizona Diamondbacks,26.6,27.1,105,105,0,2,8,"$64,434,000",3:10,2015
Atlanta Braves,28.8,26.6,97,98,0,1,13,"$104,037,500",2:55,2015
Baltimore Orioles,27.9,28.3,102,102,0,4,13,"$112,989,833",2:55,2015
Boston Red Sox,28.3,28.6,107,107,1,1,20,"$183,931,900",3:06,2015
Chicago Cubs,26.9,29.3,98,97,0,2,17,"$115,306,610",3:02,2015
Chicago White Sox,28.2,27.8,96,97,0,1,11,"$112,889,700",3:00,2015
Cincinnati Reds,29.5,27.3,100,101,0,2,12,"$111,572,286",3:02,2015
Cleveland Indians,28.0,27.3,107,107,0,1,13,"$59,163,766",3:00,2015
Colorado Rockies,28.0,28.7,118,118,0,3,8,"$96,438,600",3:06,2015
Detroit Tigers,28.3,28.7,99,99,0,4,17,"$172,284,750",3:09,2015
Houston Astros,26.3,29.4,97,97,0,2,12,"$93,256,200",3:03,2015
Kansas City Royals,29.1,30.0,104,104,0,7,16,"$121,590,475",3:00,2015
Los Angeles Angels of Anaheim,28.7,28.3,94,94,0,3,11,"$131,522,500",3:00,2015
Los Angeles Dodgers,29.5,28.1,95,94,0,5,16,"$265,140,429",3:03,2015
Miami Marlins,27.9,27.3,96,97,0,2,12,"$71,231,500",2:51,2015
Milwaukee Brewers,28.1,28.4,100,101,0,2,13,"$70,869,500",3:01,2015
Minnesota Twins,28.3,29.1,100,101,0,2,14,"$107,755,000",2:57,2015
New York Mets,28.6,28.2,97,97,0,1,13,"$98,874,473",2:56,2015
New York Yankees,31.4,27.4,101,101,0,3,16,"$214,051,957",3:08,2015
Oakland Athletics,27.9,27.8,97,97,0,2,14,"$64,016,001",3:01,2015
Philadelphia Phillies,28.0,28.5,97,98,0,1,11,"$103,082,167",2:58,2015
Pittsburgh Pirates,28.2,29.6,99,99,0,4,15,"$104,457,499",3:06,2015
San Diego Padres,27.6,29.1,95,95,0,1,8,"$125,203,700",3:01,2015
Seattle Mariners,28.6,28.6,95,95,0,2,13,"$130,681,400",3:01,2015
San Francisco Giants,28.9,31.5,99,98,0,4,13,"$180,018,166",3:02,2015
St. Louis Cardinals,28.4,28.2,101,100,0,6,14,"$128,241,500",2:59,2015
Tampa Bay Rays,28.5,26.7,96,97,0,2,10,"$64,571,233",2:59,2015
Texas Rangers,28.7,28.1,105,105,0,1,13,"$178,860,789",3:04,2015
Toronto Blue Jays,29.6,29.2,103,102,0,3,19,"$117,917,400",2:53,2015
Washington Nationals,28.4,28.6,102,101,0,2,16,"$176,496,372",2:54,2015
Arizona Diamondbacks,26.7,26.4,107,107,0,1,12,"$78,399,500",3:14,2016
Atlanta Braves,28.9,26.4,98,99,0,1,13,"$74,999,750",3:08,2016
Baltimore Orioles,28.5,27.9,102,102,0,5,17,"$153,744,833",3:00,2016
Boston Red Sox,28.5,29.0,106,106,1,6,18,"$218,682,750",3:12,2016
Chicago Cubs,27.4,29.9,101,100,0,7,18,"$176,097,333",3:05,2016
Chicago White Sox,28.3,28.6,96,96,0,2,16,"$113,416,000",3:03,2016
Cincinnati Reds,27.8,27.1,101,102,0,2,9,"$77,329,561",3:04,2016
Cleveland Indians,29.0,28.1,109,107,0,3,13,"$94,511,067",3:03,2016
Colorado Rockies,27.8,27.7,116,116,0,2,8,"$89,707,000",3:11,2016
Detroit Tigers,30.0,29.0,100,101,0,1,15,"$199,902,000",3:05,2016
Houston Astros,26.4,28.9,94,93,0,2,13,"$89,498,000",3:04,2016
Kansas City Royals,28.5,29.9,102,102,0,4,14,"$125,132,675",2:59,2016
Los Angeles Angels,28.5,28.4,95,95,0,1,9,"$139,712,000",3:04,2016
Los Angeles Dodgers,28.9,28.9,97,96,0,3,18,"$231,342,096",3:10,2016
Miami Marlins,28.3,28.0,93,94,0,4,11,"$72,472,000",3:05,2016
Milwaukee Brewers,27.5,28.1,102,102,0,1,8,"$52,077,500",3:08,2016
Minnesota Twins,26.9,28.3,100,100,0,1,17,"$93,333,700",3:05,2016
New York Mets,29.5,28.4,96,96,0,4,13,"$155,221,282",3:05,2016
New York Yankees,30.1,27.9,103,102,0,3,20,"$193,229,350",3:03,2016
Oakland Athletics,28.7,27.9,96,97,0,1,12,"$54,969,067",2:56,2016
Philadelphia Phillies,26.9,26.3,99,100,0,1,6,"$84,846,666",3:03,2016
Pittsburgh Pirates,28.9,28.6,99,99,0,2,15,"$81,187,933",3:11,2016
San Diego Padres,28.1,28.1,95,95,0,2,11,"$50,656,166",3:06,2016
Seattle Mariners,30.5,28.8,96,96,0,1,12,"$137,169,100",3:02,2016
San Francisco Giants,29.1,30.0,96,96,0,4,15,"$177,021,333",3:10,2016
St. Louis Cardinals,28.5,28.0,98,97,0,2,13,"$150,353,500",3:01,2016
Tampa Bay Rays,27.7,26.9,95,95,0,1,9,"$48,223,791",3:01,2016
Texas Rangers,28.4,28.8,107,108,0,2,14,"$212,117,760",3:00,2016
Toronto Blue Jays,30.1,29.8,102,101,0,5,17,"$182,690,767",3:00,2016
Washington Nationals,28.8,29.1,103,102,0,5,15,"$152,967,400",3:08,2016
Arizona Diamondbacks,28.3,28.7,108,108,0,4,11,"$106,580,200",3:09,2017
Atlanta Braves,28.6,29.4,100,100,0,1,14,"$119,705,250",3:04,2017
Baltimore Orioles,28.6,28.2,97,99,0,1,15,"$161,621,633",3:09,2017
Boston Red Sox,27.3,28.4,105,104,0,3,18,"$200,550,750",3:20,2017
Chicago Cubs,27.1,30.8,103,101,0,1,18,"$177,210,667",3:09,2017
Chicago White Sox,26.7,28.7,97,98,0,1,13,"$97,842,000",3:10,2017
Cincinnati Reds,27.2,27.6,101,103,0,2,9,"$79,315,786",3:03,2017
Cleveland Indians,28.1,28.9,106,104,0,5,12,"$114,427,167",3:06,2017
Colorado Rockies,28.3,27.0,117,116,0,4,11,"$106,650,000",3:11,2017
Detroit Tigers,29.6,28.3,101,102,0,2,16,"$118,375,600",3:14,2017
Houston Astros,28.8,28.5,94,93,0,6,16,"$157,656,400",3:10,2017
Kansas City Royals,28.9,30.3,101,102,0,3,17,"$127,555,817",3:02,2017
Los Angeles Angels,29.9,29.1,97,97,0,1,8,"$181,125,500",3:11,2017
Los Angeles Dodgers,27.9,29.7,96,95,0,6,20,"$201,466,263",3:11,2017
Miami Marlins,28.3,28.7,90,91,0,2,10,"$111,591,100",3:06,2017
Milwaukee Brewers,27.4,28.3,101,101,0,1,9,"$68,439,300",3:10,2017
Minnesota Twins,27.1,29.6,100,101,0,3,17,"$103,932,500",3:11,2017
New York Mets,28.9,27.5,94,95,0,1,13,"$176,615,252",3:09,2017
New York Yankees,28.6,27.8,104,103,0,5,17,"$182,424,700",3:16,2017
Oakland Athletics,28.7,27.9,95,95,0,1,13,"$51,560,000",3:09,2017
Philadelphia Phillies,26.6,26.8,98,99,0,1,7,"$86,276,000",3:08,2017
Pittsburgh Pirates,28.2,27.1,97,98,0,1,9,"$102,953,333",3:07,2017
San Diego Padres,26.2,27.7,95,97,0,1,7,"$49,248,767",3:00,2017
Seattle Mariners,29.6,27.8,95,95,0,2,13,"$172,438,700",3:06,2017
San Francisco Giants,29.5,28.9,98,98,0,1,14,"$177,399,833",3:04,2017
St. Louis Cardinals,28.0,28.3,98,97,0,2,15,"$129,652,933",3:04,2017
Tampa Bay Rays,28.3,27.6,96,96,0,2,12,"$79,473,033",3:13,2017
Texas Rangers,28.4,28.8,110,110,0,1,13,"$207,326,274",3:13,2017
Toronto Blue Jays,31.0,28.8,101,102,0,2,15,"$158,890,575",3:09,2017
Washington Nationals,29.2,30.1,104,103,0,5,15,"$175,587,301",3:09,2017
Arizona Diamondbacks,29.2,29.6,105,104,0,3,13,"$134,850,600",3:10,2018
Atlanta Braves,27.4,27.7,101,101,0,4,16,"$115,848,667",3:04,2018
Baltimore Orioles,28.4,27.1,98,100,0,1,14,"$141,555,833",3:01,2018
Boston Red Sox,27.7,28.9,104,103,0,5,20,"$222,205,000",3:13,2018
Chicago Cubs,27.2,30.2,104,103,0,3,16,"$205,373,881",3:09,2018
Chicago White Sox,26.5,27.6,98,99,0,1,9,"$75,092,000",3:08,2018
Cincinnati Reds,27.2,27.1,102,103,0,3,9,"$94,587,500",3:03,2018
Cleveland Indians,29.4,29.4,103,101,0,6,15,"$143,375,233",3:03,2018
Colorado Rockies,28.7,27.9,117,117,0,3,11,"$136,658,500",3:04,2018
Detroit Tigers,27.9,28.6,103,105,0,1,10,"$111,531,000",3:00,2018
Houston Astros,28.1,30.0,99,97,0,6,16,"$172,781,200",3:04,2018
Kansas City Royals,28.6,27.6,100,101,0,1,7,"$95,199,167",2:57,2018
Los Angeles Angels,29.5,27.5,98,98,0,1,8,"$166,849,666",3:09,2018
Los Angeles Dodgers,28.1,29.2,98,96,0,3,19,"$164,703,429",3:13,2018
Miami Marlins,27.5,27.6,94,95,0,1,5,"$86,515,143",3:02,2018
Milwaukee Brewers,28.9,28.8,102,101,0,5,17,"$109,295,700",3:07,2018
Minnesota Twins,28.2,28.5,101,100,0,1,17,"$110,275,000",3:10,2018
New York Mets,28.4,28.0,92,92,0,1,19,"$161,403,844",3:01,2018
New York Yankees,27.2,28.8,100,98,0,4,16,"$160,643,032",3:11,2018
Oakland Athletics,28.0,29.2,97,97,0,2,14,"$69,883,333",3:05,2018
Philadelphia Phillies,26.7,26.8,102,102,0,1,8,"$93,874,333",3:10,2018
Pittsburgh Pirates,27.8,26.5,96,97,0,1,11,"$88,141,000",3:04,2018
San Diego Padres,26.9,27.7,93,95,0,1,6,"$93,821,067",3:00,2018
Seattle Mariners,29.8,29.0,94,95,0,4,14,"$157,090,065",2:58,2018
San Francisco Giants,29.8,28.6,93,94,0,2,14,"$202,060,277",3:01,2018
St. Louis Cardinals,28.1,26.7,97,96,0,2,14,"$157,713,667",3:10,2018
Tampa Bay Rays,27.1,27.1,97,96,0,2,13,"$46,011,667",3:01,2018
Texas Rangers,27.4,30.4,110,111,0,1,11,"$106,099,628",3:04,2018
Toronto Blue Jays,29.0,29.3,98,99,0,1,12,"$151,670,772",2:59,2018
Washington Nationals,27.5,30.2,106,105,0,3,16,"$188,886,699",3:07,2018
Arizona Diamondbacks,28.7,28.6,101,101,0,2,9,"$124,016,266",3:15,2019
Atlanta Braves,28.0,27.5,106,104,0,3,21,"$133,186,667",3:13,2019
Baltimore Orioles,26.5,27.3,100,102,0,1,4,"$82,696,100",3:07,2019
Boston Red Sox,27.3,29.0,106,105,0,3,15,"$218,978,142",3:25,2019
Chicago Cubs,27.7,31.1,100,100,0,3,19,"$217,805,215",3:12,2019
Chicago White Sox,27.6,27.6,98,99,0,3,10,"$80,846,333",3:10,2019
Cincinnati Reds,27.9,28.2,106,106,0,2,13,"$109,737,499",3:03,2019
Cleveland Indians,27.8,28.3,104,102,0,4,13,"$151,257,783",3:03,2019
Colorado Rockies,28.2,27.3,116,117,0,4,10,"$145,348,500",3:14,2019
Detroit Tigers,27.6,27.8,101,103,0,1,11,"$100,618,500",3:02,2019
Houston Astros,28.9,29.9,103,100,0,6,18,"$166,042,500",3:05,2019
Kansas City Royals,27.6,27.9,102,103,0,1,4,"$98,183,242",3:03,2019
Los Angeles Angels,28.8,27.0,100,100,0,2,10,"$177,245,250",3:15,2019
Los Angeles Dodgers,27.9,28.9,97,94,0,5,15,"$193,553,333",3:12,2019
Miami Marlins,28.4,26.5,96,97,0,1,6,"$74,683,643",3:05,2019
Milwaukee Brewers,28.9,28.7,101,101,0,5,14,"$128,842,900",3:16,2019
Minnesota Twins,27.8,28.2,99,98,0,3,15,"$113,758,333",3:14,2019
New York Mets,27.9,28.6,93,93,0,3,18,"$154,837,230",3:09,2019
New York Yankees,28.3,30.2,98,96,0,5,17,"$228,442,421",3:11,2019
Oakland Athletics,27.8,30.8,94,93,0,2,10,"$102,935,833",3:07,2019
Philadelphia Phillies,27.6,28.4,101,101,0,1,12,"$141,786,962",3:15,2019
Pittsburgh Pirates,27.4,27.2,97,98,0,2,11,"$72,915,501",3:12,2019
San Diego Padres,26.1,26.3,94,95,0,1,8,"$90,260,767",3:07,2019
Seattle Mariners,27.8,28.6,94,94,0,1,10,"$126,874,600",3:08,2019
San Francisco Giants,29.9,28.9,95,95,0,1,15,"$175,450,753",3:07,2019
St. Louis Cardinals,28.8,27.8,96,95,0,1,14,"$161,120,267",3:10,2019
Tampa Bay Rays,27.2,27.8,96,95,0,3,10,"$56,071,767",3:11,2019
Texas Rangers,28.8,28.3,111,112,0,3,11,"$104,433,499",3:11,2019
Toronto Blue Jays,25.9,28.0,97,98,0,1,9,"$64,680,671",3:07,2019
Washington Nationals,28.7,30.8,102,102,0,2,16,"$203,016,595",3:12,2019
Arizona Diamondbacks,28.9,28.5,99,100,0,1,9,"$77,691,667",3:15,2021
Atlanta Braves,28.2,29.5,104,103,0,3,18,"$127,230,000",3:08,2021
Baltimore Orioles,26.7,28.1,102,104,0,1,4,"$42,075,000",3:06,2021
Boston Red Sox,28.0,29.7,107,107,0,5,9,"$156,095,000",3:17,2021
Chicago Cubs,29.1,29.4,100,100,0,2,10,"$144,413,500",3:16,2021
Chicago White Sox,28.1,28.3,102,101,0,4,10,"$115,546,333",3:09,2021
Cincinnati Reds,28.9,28.9,110,111,0,2,11,"$116,784,881",3:14,2021
Cleveland Indians,26.7,26.3,100,100,0,2,5,"$50,425,500",3:04,2021
Colorado Rockies,28.1,28.3,112,114,0,1,4,"$92,675,000",3:12,2021
Detroit Tigers,28.1,27.3,97,99,0,1,7,"$78,590,500",3:06,2021
Houston Astros,28.9,28.7,101,99,0,4,13,"$190,400,000",3:19,2021
Kansas City Royals,29.3,27.9,103,105,0,2,8,"$86,820,000",3:08,2021
Los Angeles Angels,29.1,28.6,103,104,0,3,12,"$188,408,595",3:12,2021
Los Angeles Dodgers,29.2,28.8,103,100,0,5,20,"$248,108,334",3:18,2021
Miami Marlins,28.2,27.3,99,100,0,1,9,"$33,150,000",3:11,2021
Milwaukee Brewers,28.7,28.1,99,98,0,5,14,"$85,517,626",3:16,2021
Minnesota Twins,28.3,29.8,98,98,0,2,11,"$120,158,333",3:10,2021
New York Mets,28.2,29.5,96,95,0,2,14,"$184,675,167",3:09,2021
New York Yankees,29.3,29.3,100,99,0,3,17,"$209,799,047",3:16,2021
Oakland Athletics,30.1,30.1,95,95,0,2,11,"$94,555,834",3:08,2021
Philadelphia Phillies,29.1,28.8,99,99,0,2,12,"$185,286,962",3:17,2021
Pittsburgh Pirates,27.5,27.4,99,102,0,2,8,"$50,255,000",3:11,2021
San Diego Padres,28.0,29.6,92,92,0,5,12,"$121,717,619",3:18,2021
Seattle Mariners,27.0,28.0,95,95,0,1,7,"$64,605,500",3:12,2021
San Francisco Giants,30.6,29.7,98,98,0,3,13,"$150,863,778",3:12,2021
St. Louis Cardinals,28.5,30.1,94,93,0,3,13,"$155,329,667",3:10,2021
Tampa Bay Rays,27.7,28.8,94,92,0,3,10,"$64,037,166",3:07,2021
Texas Rangers,26.8,27.8,100,102,0,3,7,"$67,890,999",3:05,2021
Toronto Blue Jays,26.8,29.1,104,103,0,4,18,"$121,694,071",3:04,2021
Washington Nationals,28.6,30.1,94,96,0,4,17,"$172,370,147",3:13,2021
